ID,Öncelik,Sprint,Modül,İş / Gereksinim,Detay,Kabul Kriteri / Test,Kaynak,Durum,Agent Notu,Commit SHA,Test Kanıtı,Kullanıcı Doğrulaması
C01,P1,C,Fotoğraf Yükleme,Yeni filtre satırı son satırın tekrar eden değerlerini kopyalamalı,"L / 50 kare / 300 sn sonrası R eklenirse filtre yeni/boş, kare=50, poz=300sn başlamalı.",Add row -> frame/exposure cloned; filter blank/new.,Kullanıcı bulgusu,TESTED,"Son satırın kare/pozu taşınıyor, filtre boş",f7ae111,vitest integration.test.ts: yeniPozSatiri (3 senaryo),Bekliyor
C02,P1,C,Fotoğraf Yükleme,Tek tarih / tarih aralığı checkbox,Varsayılan tek çekim tarihi; 'Tarih aralığı' seçilirse başlangıç ve bitiş tarihi.,Checkbox off=single; on=start/end; end>=start validation.,Yeni gereksinim,TESTED,Çekim oturumları uçtan uca,a50b6b9,vitest captureSession/upload/photos; typecheck+build+budgets yeşil,Bekliyor
C03,P1,C,Fotoğraf Yükleme,Bir fotoğrafa birden fazla çekim sezonu,'Sezon ekle' ile aylar sonra yapılan çekimler ayrı tarih blokları olarak eklenebilmeli.,Season 1 + Season 2 add/remove/reorder/persist.,Yeni gereksinim,TESTED,Çekim oturumları uçtan uca,a50b6b9,vitest captureSession/upload/photos; typecheck+build+budgets yeşil,Bekliyor
C04,P1,C,Fotoğraf Yükleme,Her sezon tek tarih veya tarih aralığı taşıyabilmeli,Sezon bazında start/end ve isteğe bağlı etiket tutulmalı.,Mixed single/range seasons persist correctly.,Yeni gereksinim,TESTED,Çekim oturumları uçtan uca,a50b6b9,vitest captureSession/upload/photos; typecheck+build+budgets yeşil,Bekliyor
C05,P1,C,Fotoğraf Metadata,Exposure satırlarını sezonla ilişkilendir,Sezonların farklı filtre/süreleri olabileceği için exposure satırları season_id taşımalı; toplam entegrasyon tüm sezonlardan hesaplanmalı.,Per-season exposure + correct aggregate integration.,Ek öneri,TESTED,Çekim oturumları uçtan uca,a50b6b9,vitest captureSession/upload/photos; typecheck+build+budgets yeşil,Bekliyor
C06,P2,C,Fotoğraf Künyesi,Çok sezonlu tarihleri okunabilir göster,Örn. Sezon 1: 02–05 Oca 2026; Sezon 2: 10–12 Mar 2026.,Detail + share caption ordered season summary.,Yeni gereksinim,TESTED,Çekim oturumları uçtan uca,a50b6b9,vitest captureSession/upload/photos; typecheck+build+budgets yeşil,Bekliyor
C07,P1,C,Fotoğraf Yükleme,Thumbnail/Kart kadraj editörü upload akışında olmalı,Kullanıcı fotoğrafın ana sayfa ve kartlarda nasıl görüneceğini yükleme sırasında crop/move/zoom/focal point ile ayarlayabilmeli.,Upload wizard contains interactive crop/move/zoom editor.,Yeni gereksinim,TODO,,,,Bekliyor
C08,P1,C,Fotoğraf Yükleme,Thumbnail editöründe ana sayfa ve kart önizlemeleri,Obje kenardaysa center-crop yüzünden kaybolmamalı. Aynı editörde gerçek site aspect ratio'larıyla Gallery Card / Home Card preview gösterilmeli.,Object placed near edge remains visible in configured previews.,Yeni gereksinim,TODO,,,,Bekliyor
C09,P1,C,Fotoğraf Detayı / Owner,Thumbnail kadrajı yüklemeden sonra da düzenlenebilmeli,Yalnız owner kendi fotoğrafında 'Thumbnail/Kart kadrajını düzenle' aksiyonu görebilmeli.,Owner sees/edit; non-owner cannot edit UI/API.,Yeni gereksinim,TODO,,,,Bekliyor
C10,P1,C,Medya Mimarisi,Thumbnail crop state normalize parametre olarak saklanmalı,DB'ye resim blob'u değil focal_x/focal_y/zoom veya normalized crop rect + version gibi küçük metadata yazılmalı.,DB row stores normalized crop metadata; source image unchanged.,Optimizasyon önerisi,TODO,,,,Bekliyor
C11,P1,C,Medya Mimarisi,Thumbnail türevleri storage'da ve versiyonlu tutulmalı,Gerekliyse card/home derivative dosyaları object storage'da tutulmalı; DB sadece pointer/metadata taşımalı.,No large image bytes in relational DB; derivative type/version explicit.,Optimizasyon önerisi,TODO,,,,Bekliyor
C12,P0,C,Medya Temizliği,Thumbnail yeniden düzenlenince eski türev güvenli silinmeli,Yeni derivative başarıyla üretildikten ve DB referansı atomik güncellendikten sonra önceki thumbnail dosyaları silinmeli. Original/web/annotated yanlışlıkla silinmemeli.,Edit crop twice -> only current derivative refs remain; original untouched.,Yeni gereksinim,TODO,,,,Bekliyor
C13,P1,C,Medya Temizliği,Orphan thumbnail garbage collector,"Yarım kalan job, eski versiyon veya referansı kalmayan thumbnail/social derivative dosyaları periyodik GC ile temizlenmeli.",Dry-run GC reports orphans; delete mode removes only unreferenced derivatives.,Ek optimizasyon,TODO,,,,Bekliyor
C14,P1,C,Medya İşleme,Thumbnail üretimi idempotent ve content/crop version bağlı olmalı,Aynı source+crop+processor_version için tekrar dosya üretme; crop değişirse yeni version üret.,Same params -> reuse; changed crop -> regenerate once.,Ek optimizasyon,TODO,,,,Bekliyor
C15,P2,C,Thumbnail UX,Crop editörü mouse/touch/keyboard erişilebilir olmalı,"Drag, wheel/pinch zoom yanında klavye/fallback kontrolleri; reset ve preview.",Keyboard-only adjustment possible; Reset works.,Ek öneri,TODO,,,,Bekliyor
D01,P0,D,Paylaşım Kiti,Paylaşım kiti yalnız fotoğraf sahibine açık,UI kontrolü tek başına yetmez; backend/RLS/Edge Function photo.owner_id == auth.uid() doğrulamalı.,Non-owner direct request denied; owner accepted.,Yeni gereksinim,TODO,,,,Bekliyor
D02,P1,D,Paylaşım Kiti,Owner için 'Paylaşım kiti hazırla' aksiyonu,Aksiyon yalnız kendi yüklediği fotoğrafta görünmeli.,Owner sees; non-owner doesn't.,Yeni gereksinim,TODO,,,,Bekliyor
D03,P1,D,Paylaşım Kiti,Instagram gönderi çıktısı otomatik üret,Varsayılan 1080×1350 (4:5). Pipeline ölçüleri config'te tutmalı; platform oran değişimlerine açık olmalı.,Generated feed image valid 1080×1350; config based.,Yeni gereksinim,TODO,,,,Bekliyor
D04,P1,D,Paylaşım Kiti,Instagram hikâye çıktısı otomatik üret,9:16 tam ekran 1080×1920.,Generated story image valid 1080×1920.,Yeni gereksinim,TODO,,,,Bekliyor
D05,P1,D,Paylaşım Kiti,Sosyal resize kadrajı astrofotoğrafı bozmasın,Nebula/galaksi kenardaysa zorunlu center-crop yapılmamalı. Thumbnail focal/crop metadata mümkünse yeniden kullanılsın ve preview gösterilsin.,Composition preserved or crop explicitly confirmed.,Ek öneri,TODO,,,,Bekliyor
D06,P1,D,Paylaşım Kiti,Instagram künye metni üret,"Kopyalanabilir alan: Obje Adı, Çekim Tarihi/Sezonlar, Konum, Optik Tüp, Montür, Kamera, Filtre, Pozlama, Yazılım.",Visible template values match stored metadata.,Yeni gereksinim,TODO,,,,Bekliyor
D07,P1,D,Paylaşım Kiti,Künye çok sezonlu tarihleri desteklesin,Birden fazla sezon varsa caption'da anlaşılır biçimde yer almalı.,Multi-season photo -> all seasons included.,Yeni gereksinim,TODO,,,,Bekliyor
D08,P1,D,Paylaşım Kiti,Tek tık Kopyala,Künye metni panoya kopyalanmalı ve başarı feedback'i verilmeli.,Clipboard equals visible template.,Yeni gereksinim,TODO,,,,Bekliyor
D09,P2,D,Paylaşım Kiti,Künye TXT indirme,Caption metni ayrıca .txt dosyası olarak indirilebilmeli.,TXT equals textbox content.,Ek öneri,TODO,,,,Bekliyor
D10,P2,D,Paylaşım Kiti,Opsiyonel künye alanları,"Toplam Entegrasyon, Bortle, Takımyıldız, @username gibi alanlar toggle ile eklenebilir.",Toggle fields updates template.,Ek öneri,TODO,,,,Bekliyor
D11,P2,D,Paylaşım Kiti,Orijinal / annotated sosyal kaynak seçimi,Plate solve hazırsa sosyal çıktı için annotasyonsuz veya annotated kaynak seçilebilmeli.,Source toggle changes generated output.,Ek öneri,IN_PROGRESS,"Paylasim kiti Faz 08'de; annotated kaynak secimi bu maddede zaten var, annotatedExport modulu hazir ve orada yeniden kullanilacak",,,Bekliyor
D12,P2,D,Paylaşım Kiti,Tek ZIP paylaşım paketi,Feed + Story + caption.txt tek ZIP olarak indirilebilmeli.,ZIP includes expected files.,Ek öneri,TODO,,,,Bekliyor
D13,P2,D,Paylaşım Kiti,Opsiyonel watermark/@username,Kullanıcı isterse handle veya watermark ekleyebilmeli; zorunlu değil.,Toggle on/off produces expected output.,Ek öneri,TODO,,,,Bekliyor
D14,P1,D,Gizlilik,Paylaşım kiti konum gizliliğine uymalı,Caption ve export dosyaları fotoğrafın konum visibility politikasını aşmamalı.,Hidden/approx location does not expose exact GPS.,Ek öneri,TODO,,,,Bekliyor
E01,P2,E,Hesabım,E-posta doğrulama kutusunu sadeleştir,Büyük panel yerine e-posta yanında küçük 'Doğrulandı' badge.,Verified user shows compact badge.,Kullanıcı bulgusu,TESTED,Durum üç yerde tekrar ediyordu,869f024,"typecheck+lint+test:all yeşil; kutu kaldırıldı, inline rozet",Bekliyor
E02,P1,E,Navbar,Sağ üstte avatar + kullanıcı adı,'Hesabım' yerine avatar + username; mobilde isim truncate olabilir.,Logged-in header shows avatar + username.,Kullanıcı bulgusu,VERIFIED,Tetikleyicide avatar + kullanici adi; ad yoksa eski etiket,2fcadac,vitest AccountMenu.test.tsx,18.08.2026 · kullanıcı canlıda kontrol etti
E03,P0,E,Navbar,Navbar kullanıcı menüsünde 'Çıkış yap',Kullanıcı logout için Hesabım sayfasına gitmek zorunda kalmamalı.,Open avatar menu -> Logout visible.,Kullanıcı bulgusu,VERIFIED,Menude ayrilmis 'Cikis yap' dugmesi,2fcadac,vitest AccountMenu.test.tsx,18.08.2026 · kullanıcı canlıda kontrol etti
E04,P0,E,Navbar,Logout gerçek oturumu temizlemeli,Supabase session/local state temizlenmeli; protected route erişimi kapanmalı ve header anonymous duruma dönmeli.,Login -> logout -> protected route denied.,Kullanıcı bulgusu,VERIFIED,signOut cagriliyor ve ana sayfaya yonlendiriliyor,2fcadac,vitest: cikis gercekten oturumu kapatiyor,18.08.2026 · kullanıcı canlıda kontrol etti
E05,P1,E,Public Profil,LinkedIn benzeri public profil üst alanı,"Solda avatar; sağda kullanıcı adı/gerçek ad, konum, kısa bio ve public bilgiler. Güçlü görsel hiyerarşi.",Desktop/mobile visual acceptance.,Yeni gereksinim,TESTED,Kapak + ustune binen avatar + sayac seridi; sekme duzeni Astrohub'in kendi tasarimi,65be33d,vitest ProfilePage.test.tsx; npm run test:all,Bekliyor
E06,P1,E,Public Profil,Profil içerik bölümleri accordion/collapsible,"Fotoğraflar, Ekipmanlar, Hakkında vb. başlıklardan daraltılıp genişletilebilmeli.",Mouse+keyboard toggle; aria-expanded correct.,Yeni gereksinim,TESTED,"Native details; JS'siz, erişilebilir",869f024,"vitest Panel.test.tsx: collapsible <details>/<summary>, defaultOpen",Bekliyor
E07,P2,E,Public Profil,Bölüm deep-link / hash,"İsteğe bağlı #fotograflar, #ekipmanlar gibi fragment ile doğrudan bölüme link.",Hash opens/scrolls relevant section.,Ek öneri,TESTED,Panel id + scroll-mt-20 çapası,869f024,vitest ProfilePage.test.tsx: hash ile bölüme scrollIntoView,Bekliyor
E08,P1,E,Public Profil,Public profil responsive,"390/768/1440 genişliklerde taşmasız, avatar ve metin dengeli.",Visual + horizontal overflow test.,Yeni gereksinim,TESTED,Responsive sınıflar gözden geçirildi,869f024,check:a11y 5 rota; preview profil/hesap 320px docW 320 taşmasız; collapsible mobilde tek sütun,Bekliyor
F01,P1,F,Ekipmanlarım,Kayıtlı setup'ı sonradan Düzenle,"Mevcut setup builder'a preload edilmeli; save aynı setup'ı update etmeli, duplicate yaratmamalı.",Edit -> save -> same id updated.,Kullanıcı bulgusu,TODO,,,,Bekliyor
F02,P1,F,Ekipmanlarım,Birden fazla filtre desteği,Tek aktif filtre ile sahip olunan filtre envanteri ayrılmalı; çoklu filter persist/edit/remove.,Multiple filters persist and are editable.,Kullanıcı bulgusu,TODO,,,,Bekliyor
F03,P1,F,Katalog,Ekipman mükerrerlerini canonical merge ile temizle,Audit normalize marka+model bazında en az 19 duplicate grup buldu. FK/reference bütünlüğü korunmalı.,Post-migration duplicate query 0; no orphan refs.,DB audit,TODO,,,,Bekliyor
F04,P1,F,Katalog,Canonical model + variant + alias,"Aynı fiziksel ürün farklı açıklama/slug ile çoğalmamalı; gerçek ölçü/SKU variant, yazım farkı alias.",L-Ultimate resolves to one canonical model with size variants.,DB audit,TODO,,,,Bekliyor
F05,P1,F,Katalog,PrimaLuceLab EAGLE legacy/aktif seri kapsamı,EAGLE2/3/LE/4/5/6 gibi sahip olunabilir nesiller resmi kaynakla katalogda; legacy status ile korunur.,Search returns series + production_status + source.,Araştırma + kullanıcı bulgusu,TODO,,,,Bekliyor
F06,P1,F,Katalog,Diğer markalarda seri-gap analizi,"ZWO, Sky-Watcher, Optolong, Takahashi, William Optics vb. için seri bütünlüğü resmi üretici/öncelikli güvenilir kaynaklarla araştırılmalı.",Coverage report + sourced additions.,Kullanıcı bulgusu,TODO,,,,Bekliyor
F07,P2,F,Katalog,Katalog source/verification metadata,"production_status, release_year, discontinued_year, sources, verified_at, confidence düzenli kullanılmalı.",Added/merged rows have source and verification metadata.,Ek öneri,TODO,,,,Bekliyor
F08,P0,F,Katalog,Dedup migration backup/rollback,"Canlı merge/delete öncesi dry-run, referans haritası, backup ve rollback hazırlanmalı.",Dry-run report + rollback SQL/plan.,Ek öneri,TODO,,,,Bekliyor
G01,P2,G,Fotoğraf Detayı,Puanlama panelini aksiyon satırına taşı,Ayrı büyük blok kaldır; fotoğraf altında kompakt yıldız/puan ikonu.,No large panel; compact action visible.,Kullanıcı bulgusu,TESTED,"Buyuk panel kaldirildi; ayni is sayfada iki kez duruyordu. Ortalama rozette, oy verme seritteki dugmede",7fdded8,,Bekliyor
G02,P2,G,Fotoğraf Detayı,1–10 puan popover,Yıldız ikonuna tıklayınca 1–10 seçim; ortalama ve kullanıcının puanı tooltip/popover.,Select 1..10 -> persisted.,Kullanıcı bulgusu,TESTED,1-10 acilir kutu; Esc ve disari tiklama ile kapaniyor,7fdded8,,Bekliyor
G03,P2,G,Fotoğraf Detayı,Puanlama erişilebilirliği,Mobilde 10 kalıcı buton yok; popover keyboard/focus/ARIA ile kullanılabilir.,Keyboard-only rating and Escape close.,Ek öneri,TESTED,Acilir kutu Esc ve disari tiklama ile kapaniyor; her dugmede aria-label ve aria-pressed,7fdded8,vitest RatingChip.test.tsx,Bekliyor
H01,P0,H,QA,Gerçek onboarding E2E,Kayıt → doğrulama/test fixture → giriş → username/şehir → site.,Fresh-user E2E passes.,Audit gereksinimi,TODO,,,,Bekliyor
H02,P0,H,QA,Rol/persona matrisi,"Anonymous, fresh user, completed member, photo owner, non-owner, admin; 390 ve 1440.",CI/live QA covers all personas/viewports.,Audit gereksinimi,TODO,,,,Bekliyor
H03,P1,H,QA,Happy/error/recovery/refresh/cancel/retry matrisi,Sadece submit PASS değil gerçek kullanıcı davranışları.,Test inventory covers dimensions for critical flows.,Audit gereksinimi,TODO,,,,Bekliyor
H04,P0,H,QA,Her bug regresyon testine dönüşmeli,Bir iş test eklenmeden TESTED olamaz.,Completed bug row links test name/path.,Audit gereksinimi,IN_PROGRESS,Duzeltilen her madde regresyon testine donusturuluyor (A01/A02/A03-A06/A12/E02-E04),,,Bekliyor
H05,P0,H,İlerleme,IMPLEMENTATION_PROGRESS.md canlı takip kaynağı,Agent her görev öncesi/sonrası status/commit/test/not güncellemeli; kullanıcı GitHub'dan izleyebilmeli.,Every task has current status and evidence.,Yeni gereksinim,CODED,Depo köküne alındı; scripts/patch-tracker.mjs iki dosyayı birden yazıyor,c9e50e5,node scripts/patch-tracker.mjs --list P0,Bekliyor
H06,P0,H,İlerleme,PROGRESS_TRACKER.csv canlı agent tablosu,Aynı task ID'leri CSV'de; git diff ile izlenebilir.,Task count matches MD/XLSX.,Yeni gereksinim,CODED,CSV aynı betikten güncelleniyor; ayrışma yapısal olarak engellendi,c9e50e5,node scripts/patch-tracker.mjs --list P0,Bekliyor
H07,P1,H,İlerleme,Zorunlu status akışı,TODO → IN_PROGRESS → CODED → TESTED → READY_FOR_USER → VERIFIED; BLOCKED ayrıca. VERIFIED yalnız kullanıcı onayı.,No self-VERIFIED by agent.,Yeni gereksinim,CODED,Betik geçersiz durumu ve VERIFIED'ı reddediyor,c9e50e5,scripts/patch-tracker.mjs DURUMLAR,Bekliyor
H08,P1,H,İlerleme,Commit/test evidence zorunlu,"CODED/TESTED satırlarında commit SHA, test komutu/dosyası, gerekiyorsa screenshot/artifact.",Evidence fields populated.,Yeni gereksinim,TODO,,,,Bekliyor
H09,P0,H,Git,Tüm uygulama doğrudan main,Yeni feature branch açılmayacak; main güncel çekilip atomik commitlerle ilerle.,No new implementation branch.,Yeni gereksinim,IN_PROGRESS,Tüm patch çalışması doğrudan main üzerinde,c9e50e5,,Bekliyor
H10,P0,H,Git,Gereksiz branch temizliği,"Bilinen claude/* ve codex/product-ux-audit-* branchleri main ile karşılaştır; gerekli benzersiz commitleri koru, gereksizse sil.",Remote branch list intentionally clean.,Yeni gereksinim,VERIFIED,Icerik main'e tasindi; uzak dallari kullanici elle sildi,9ede6f2,git diff main origin/codex -- <yollar>: yalnizca is akisi tetikleyicisi farki,18.08.2026 · kullanıcı canlıda kontrol etti
H11,P1,H,Git,Stale PR temizliği,Audit PR #22 kapatıldı; diğer gereksiz PR'ları incele/kapat.,No stale implementation PR.,Yeni gereksinim,TODO,,,,Bekliyor
H12,P0,H,Git,Main history güvenliği,Force push yok; migration/large change öncesi rollback planı.,No forced rewrite; atomic commits.,Ek öneri,VERIFIED,"Force-push yok, rebase yok; main yalnizca ileri sardi",9ede6f2,git log --oneline: 24d4074..d192795 dogrusal,18.08.2026 · kullanıcı canlıda kontrol etti
H13,P1,H,Kod Temizliği,Dead code/debug/audit geçici dosya temizliği,Fonksiyon kaybı yaratmadan obsolete script/debug log/unused import/stale flag temizle; kalıcı QA'yı konsolide et.,Lint/typecheck clean; needed QA retained.,Yeni gereksinim,IN_PROGRESS,"RatingControl paneli silindi, modul RatingChip olarak yeniden adlandirildi",,,Bekliyor
H14,P0,H,Final QA,Tam canlı ürün auditi yeniden koş,Tüm kapsam bitince public/member/owner/non-owner/admin + mobile/desktop canlı smoke/regression.,0 unresolved P0/P1 regression.,Yeni gereksinim,TODO,,,,Bekliyor
H15,P0,H,Final QA,Kullanıcı doğrulama kapısı,Agent READY_FOR_USER'a getirir; VERIFIED kullanıcı tarafından verilir.,User verification column manually completed.,Yeni gereksinim,TODO,,,,Bekliyor
X01,P1,Extra,Medya Mimarisi,Asset türev registry,"original_uploaded, web_optimized, thumbnail_card, thumbnail_home, plate_solve_annotated, social_feed, social_story gibi türevleri açık type/version/status ile ayır.",Derivative records identify source/type/version/status/checksum.,Ek öneri,TODO,,,,Bekliyor
X02,P1,Extra,Medya İşleme,Original asset immutable,Original uploaded dosya crop/thumbnail/social üretimi sırasında overwrite edilmemeli.,Derivative generation leaves original hash unchanged.,Ek öneri,TESTED,Orijinal bir kez yazılır,e222c78,vitest upload.test.ts: orijinal upsert:false,Bekliyor
X03,P1,Extra,Gizlilik,Public türevlerde EXIF/GPS sızıntısını önle,Public/social/download policy gerektiriyorsa hassas EXIF temizlenmeli; görünürlük politikasına uy.,Inspect derivative: unintended GPS EXIF absent.,Ek öneri,TESTED,Canvas türevleri EXIF taşımaz,e222c78,"vitest upload.test.ts: public türev EXIF'siz, ham dosya gizli bucket",Bekliyor
X04,P2,Extra,İndirme,İleride owner download izni politikası,"Core gereksinimi engellemeden, ileride owner original/public download izni verebilsin.","If implemented, permission toggle enforced server-side.",Ek öneri,TODO,,,,Bekliyor
